fips,state,violentrate2012,violentrate2013,violentrate2014,violentrate2015,violentrate2016,violentrate2017,violentrate2018,violentrate2019,violentrate2020,violentrate2021,violentrate2022,violentrate2023
1,Alabama,450.3,431,427.7,473,532.4,522.4,523.1,504.7,453.6,348.3,409.1,
2,Alaska,604.1,638.7,635.5,730.8,804.6,856.7,891.7,865,837.8,759.1,758.9,
4,Arizona,428.6,415.6,392.7,410.2,471,505.7,475.7,447.1,484.8,425.6,431.5,
5,Arkansas,469.6,463.2,480.2,529.5,554.3,566,561.6,580.8,671.9,702.4,645.3,
6,California,423.5,402.6,396.4,428,444.8,453.3,447.5,442.1,442,481.2,499.5,
8,Colorado,307.4,305.4,307.8,318.4,344.1,372.2,401.5,384.6,423.1,480.4,492.5,
9,Connecticut,283.5,262.2,238.5,221.4,227.7,229.2,209.6,184.6,181.6,168.6,150,
10,Delaware,550.5,500.7,488.1,504.2,510,457.3,422.5,422.7,,419.2,383.5,
11,District of Columbia,387.8,369.1,361.6,373.7,397.5,394.9,383.4,380.8,398.5,387,380.7,
12,Florida,487,469.3,458.9,462.5,429.4,408.1,385.9,378.2,431.9,337.3,258.9,
13,Georgia,380,375.4,385.8,381.3,390.4,356.5,338.9,326.2,400.1,349.8,367,
15,Hawaii,243,254.4,236.7,293.4,241.6,251.2,255,264.5,254.2,274,259.6,
16,Idaho,209.8,215.2,210.4,217.4,230.7,239.2,239.7,232.6,242.6,240.8,241.4,
17,Illinois,416.2,403.1,370.9,387.5,436.7,436.2,411.4,415.3,425.9,344.8,287.3,
18,Indiana,344.8,359.6,365.3,383.7,399.7,395,373.5,371.5,357.7,332.6,306.2,
19,Iowa,265.6,273,272.8,276.1,292.9,287.5,263.7,287.6,303.5,295,286.5,
20,Kansas,356.7,342.8,352.6,395,401.2,400.4,441.8,405.5,425,444.9,414.6,
21,Kentucky,224.9,210.9,215.2,223.5,235.6,231.1,217.9,220.7,259.1,269,214.1,
22,Louisiana,496.3,521.2,515.9,539.8,565,556.3,543.3,559.7,639.4,662.7,628.6,
23,Maine,122.4,132.5,127.6,129.8,124,120.6,112,116.1,108.6,112.9,103.3,
24,Maryland,477.3,475.4,448,470.1,481.7,503.3,469.4,454.4,399.9,435.1,398.5,
25,Massachusetts,407,406.4,395.1,389.9,380.7,354.3,340.3,328.7,308.8,301.1,322,
26,Michigan,455,452.2,429.1,420.6,460.9,449.9,452.5,438.6,478,491.1,461,
27,Minnesota,230.9,234.4,229.1,242.9,241.9,239.7,221.2,237.5,277.5,308.9,280.6,
28,Mississippi,260.1,277.5,278.3,274,281.7,256.2,266,261.2,291.2,255.4,245,
29,Missouri,451.3,433.7,443.3,498.5,520.8,531.2,501.4,499.6,542.7,524.3,488,
30,Montana,278.8,288.1,328.5,353.4,374.1,373.9,380.9,417.9,469.8,469.8,417.9,
31,Nebraska,258.8,264.8,276.2,272.8,296.8,311.8,289.9,304.6,334.1,297,282.8,
32,Nevada,608.6,605,635.7,697.6,677.9,560.6,552.1,496.1,460.3,432,454,
33,New Hampshire,215,223.2,197.7,202.4,199.8,195.7,177.6,158.1,146.4,129.7,125.6,
34,New Jersey,290.1,288.9,260.9,256,243.5,231.8,208.6,206.7,195.4,183.5,202.9,
35,New Mexico,559.6,622.5,597.7,657.2,699.4,778.6,842.8,824,778.3,820.8,780.5,
36,New York,406.3,393.8,384.7,380.4,374.6,361.1,350.8,361,363.8,308.3,429.3,
37,North Carolina,353.5,341,329.1,346.1,371.8,370.4,356.2,378.7,419.3,419.5,405.1,
38,North Dakota,245.7,273.4,270.4,257.5,252.1,282.5,284.1,301.4,329,276.4,279.6,
39,Ohio,301.5,291.4,285.7,296.2,307.7,296.8,294.8,296,308.8,317.4,293.6,
40,Oklahoma,474.4,446.1,413.8,428.6,455.3,457.4,474.6,436.3,458.6,438,419.7,
41,Oregon,247.1,242.8,259.2,265.4,268.8,280.4,290.4,293.7,291.9,341.3,342.4,
42,Pennsylvania,355.5,335.1,315,315.4,315.9,313,305.4,306,389.5,281.8,279.9,
44,Rhode Island,253,257.3,219.9,243,239.1,234.2,219.8,222.7,230.8,200.5,172.3,
45,South Carolina,560.5,508.5,497.8,499.5,506.8,506.1,500.8,510.1,530.7,513.8,491.3,
46,South Dakota,323.8,323.2,328.3,384.9,422,429.8,396.4,397.1,501.4,391.8,377.4,
47,Tennessee,638.5,585.8,610.7,618.9,638.5,655,630.4,598.9,672.7,671.8,621.6,
48,Texas,408.6,410.3,406.7,412.7,433.8,437.8,412.9,421.8,446.5,453,431.9,
49,Utah,208,228.9,219.5,238.7,243.3,242.2,239.4,236.9,260.7,259.1,241.8,
50,Vermont,142.3,123.6,102.6,119.3,136.5,173.3,185,207.2,173.4,194,221.9,
51,Virginia,191.5,197.8,198.4,199.6,219.8,210.4,204.2,209.4,208.7,225.5,234,
53,Washington,298.1,290,285.8,286.4,303.5,302.8,315.3,303.3,293.7,335.7,375.6,
54,West Virginia,320.1,305.2,316.4,347.5,362.7,361.2,299.9,318.9,355.9,291.5,277.9,
55,Wisconsin,283.9,280.7,291.1,304.3,306.9,321.8,299,297.1,323.4,325.4,297,
56,Wyoming,201.3,207.8,195.4,221.6,244.7,234.6,213.8,215,234.2,223.8,201.9,